sku,size_code,size,quantity,promotion_code,list_unit_price_ex_gst,discount_ex_gst,unit_price_ex_gst,loaded_landed_cost,product_gross_margin_pct,checkout_route,configuration
BC-201,1L,1 litre,2500,PACK7,36.28,6349.00,33.74,21.93,35.00,payment confirmation,premium
BC-201,100ML,100 ml,5000,PACK7,8.11,2838.50,7.54,4.90,35.03,online checkout,standard
BC-201,100ML,100 ml,5000,PACK7,12.16,4256.00,11.31,7.35,35.01,payment confirmation,premium
BC-201,250ML,250 ml,5000,PACK7,11.27,3944.50,10.48,6.81,35.03,payment confirmation,standard
BC-201,250ML,250 ml,5000,PACK7,16.89,5911.50,15.71,10.21,35.00,payment confirmation,premium
BC-201,500ML,500 ml,5000,PACK7,14.43,5050.50,13.42,8.72,35.02,payment confirmation,standard
BC-201,500ML,500 ml,5000,PACK7,21.64,7574.00,20.13,13.08,35.01,payment confirmation,premium
BC-201,1L,1 litre,5000,PACK7,18.60,6510.00,17.30,11.24,35.02,payment confirmation,standard
BC-201,1L,1 litre,5000,PACK7,27.88,9758.00,25.93,16.85,35.01,payment confirmation,premium
BC-202,200ML,200 ml,200,PACK7,55.75,780.50,51.85,33.70,35.00,online checkout,standard
BC-202,200ML,200 ml,200,PACK7,83.61,1170.54,77.76,50.54,35.00,online checkout,premium
BC-202,500ML,500 ml,200,PACK7,71.47,1000.58,66.47,43.20,35.01,online checkout,standard
BC-202,500ML,500 ml,200,PACK7,107.20,1500.80,99.70,64.80,35.00,online checkout,premium
BC-202,750ML,750 ml,200,PACK7,88.62,1240.68,82.42,53.57,35.00,online checkout,standard
BC-202,750ML,750 ml,200,PACK7,132.92,1860.88,123.62,80.35,35.00,online checkout,premium
BC-202,1L,1 litre,200,PACK7,104.34,1460.76,97.04,63.07,35.00,online checkout,standard
BC-202,1L,1 litre,200,PACK7,156.51,2191.14,145.55,94.61,35.00,online checkout,premium
BC-202,200ML,200 ml,500,PACK7,44.60,1561.00,41.48,26.96,35.00,online checkout,standard
BC-202,200ML,200 ml,500,PACK7,66.90,2341.50,62.22,40.44,35.00,online checkout,premium
BC-202,500ML,500 ml,500,PACK7,57.18,2001.30,53.18,34.56,35.01,online checkout,standard
BC-202,500ML,500 ml,500,PACK7,85.76,3001.60,79.76,51.84,35.00,payment confirmation,premium
BC-202,750ML,750 ml,500,PACK7,70.89,2481.15,65.93,42.85,35.00,online checkout,standard
BC-202,750ML,750 ml,500,PACK7,106.34,3721.90,98.90,64.28,35.00,payment confirmation,premium
BC-202,1L,1 litre,500,PACK7,83.48,2921.80,77.64,50.46,35.00,online checkout,standard
BC-202,1L,1 litre,500,PACK7,125.22,4382.70,116.45,75.69,35.00,payment confirmation,premium
BC-202,200ML,200 ml,1000,PACK7,34.84,2438.80,32.40,21.06,35.00,online checkout,standard
BC-202,200ML,200 ml,1000,PACK7,52.26,3658.20,48.60,31.59,35.00,payment confirmation,premium
BC-202,500ML,500 ml,1000,PACK7,44.67,3126.90,41.54,27.00,35.01,payment confirmation,standard
BC-202,500ML,500 ml,1000,PACK7,67.00,4690.00,62.31,40.50,35.00,payment confirmation,premium
BC-202,750ML,750 ml,1000,PACK7,55.39,3877.30,51.51,33.48,35.01,payment confirmation,standard
BC-202,750ML,750 ml,1000,PACK7,83.08,5815.60,77.26,50.22,35.00,payment confirmation,premium
BC-202,1L,1 litre,1000,PACK7,65.22,4565.40,60.65,39.42,35.01,payment confirmation,standard
BC-202,1L,1 litre,1000,PACK7,97.82,6847.40,90.97,59.13,35.00,payment confirmation,premium
BC-202,200ML,200 ml,2500,PACK7,29.27,5122.25,27.22,17.69,35.01,payment confirmation,standard
BC-202,200ML,200 ml,2500,PACK7,43.91,7684.25,40.84,26.54,35.01,payment confirmation,premium
BC-202,500ML,500 ml,2500,PACK7,37.52,6566.00,34.89,22.68,35.00,payment confirmation,standard
BC-202,500ML,500 ml,2500,PACK7,56.28,9849.00,52.34,34.02,35.00,payment confirmation,premium
BC-202,750ML,750 ml,2500,PACK7,46.52,8141.00,43.26,28.12,35.00,payment confirmation,standard
BC-202,750ML,750 ml,2500,PACK7,69.78,12211.50,64.90,42.18,35.00,payment confirmation,premium
BC-202,1L,1 litre,2500,PACK7,54.78,9586.50,50.95,33.11,35.01,payment confirmation,standard
BC-202,1L,1 litre,2500,PACK7,82.17,14379.75,76.42,49.67,35.00,payment confirmation,premium
BC-204,30ML,30 ml,200,PACK7,42.30,592.20,39.34,25.57,35.00,online checkout,standard
BC-204,30ML,30 ml,200,PACK7,63.46,888.44,59.02,38.36,35.00,online checkout,premium
BC-204,50ML,50 ml,200,PACK7,57.18,800.52,53.18,34.56,35.01,online checkout,standard
BC-204,50ML,50 ml,200,PACK7,85.76,1200.64,79.76,51.84,35.00,online checkout,premium
BC-204,100ML,100 ml,200,PACK7,73.19,1024.66,68.07,44.24,35.00,online checkout,standard
BC-204,100ML,100 ml,200,PACK7,109.78,1536.92,102.10,66.36,35.00,online checkout,premium
BC-204,200ML,200 ml,200,PACK7,92.63,1296.82,86.15,55.99,35.01,online checkout,standard
BC-204,200ML,200 ml,200,PACK7,138.93,1945.02,129.20,83.98,35.00,online checkout,premium
BC-204,30ML,30 ml,500,PACK7,33.06,1157.10,30.75,19.98,35.02,online checkout,standard
BC-204,30ML,30 ml,500,PACK7,49.58,1735.30,46.11,29.97,35.00,online checkout,premium
BC-204,50ML,50 ml,500,PACK7,44.67,1563.45,41.54,27.00,35.01,online checkout,standard
BC-204,50ML,50 ml,500,PACK7,67.00,2345.00,62.31,40.50,35.00,online checkout,premium
BC-204,100ML,100 ml,500,PACK7,57.18,2001.30,53.18,34.56,35.01,online checkout,standard
BC-204,100ML,100 ml,500,PACK7,85.76,3001.60,79.76,51.84,35.00,online checkout,premium
BC-204,200ML,200 ml,500,PACK7,72.36,2532.60,67.29,43.74,35.00,online checkout,standard
BC-204,200ML,200 ml,500,PACK7,108.54,3798.90,100.94,65.61,35.00,payment confirmation,premium
BC-204,30ML,30 ml,1000,PACK7,26.44,1850.80,24.59,15.98,35.01,online checkout,standard
BC-204,30ML,30 ml,1000,PACK7,39.67,2776.90,36.89,23.98,35.00,online checkout,premium
BC-204,50ML,50 ml,1000,PACK7,35.74,2501.80,33.24,21.60,35.01,online checkout,standard
BC-204,50ML,50 ml,1000,PACK7,53.60,3752.00,49.85,32.40,35.00,payment confirmation,premium
BC-204,100ML,100 ml,1000,PACK7,45.75,3202.50,42.55,27.65,35.01,payment confirmation,standard
BC-204,100ML,100 ml,1000,PACK7,68.61,4802.70,63.81,41.47,35.01,payment confirmation,premium
